Temperature: 81 F || Date: 2017-07-27
Temperature: 81 F || Date: 2017-07-27
Temperature: 81 F || Date: 2017-07-27
Temperature: 81 F || Date: 2017-07-27
Temperature: 81 F || Date: 2017-07-27
Temperature: 81 F || Date: 2017-07-27
Temperature: 81 F || Date: 2017-07-27
Temperature: 81 F || Date: 2017-07-27
Temperature: 81 F || Date: 2017-07-27
Temperature: 81 F || Date: 2017-07-27
Temperature: 81 F || Date: 2017-07-27
Temperature: 81 F || Date: 2017-07-27
Temperature: 81 F || Date: 2017-07-27
Temperature: 81 F || Date: 2017-07-27
Temperature: 81 F || Date: 2017-07-27
Temperature: 81 F || Date: 2017-07-27
Temperature: 81 F || Date: 2017-07-27
Temperature: 81 F || Date: 2017-07-27
Temperature: 81 F || Date: 2017-07-27
Temperature: 81 F || Date: 2017-07-27
Temperature: 81 F || Date: 2017-07-27
Temperature: 81 F || Date: 2017-07-27
Temperature: 81 F || Date: 2017-07-27
Temperature: 81 F || Date: 2017-07-27
Temperature: 81 F || Date: 2017-07-27
Temperature: 81 F || Date: 2017-07-27
Temperature: 81 F || Date: 2017-07-27
Temperature: 81 F || Date: 2017-07-27
Temperature: 81 F || Date: 2017-07-27
Temperature: 81 F || Date: 2017-07-27
Temperature: 81 F || Date: 2017-07-27
Temperature: 81 F || Date: 2017-07-27
Temperature: 82 F || Date: 2017-07-27
Temperature: 82 F || Date: 2017-07-27
Temperature: 82 F || Date: 2017-07-27
Temperature: 82 F || Date: 2017-07-27
Temperature: 82 F || Date: 2017-07-27
Temperature: 82 F || Date: 2017-07-27
Temperature: 82 F || Date: 2017-07-27
Temperature: 82 F || Date: 2017-07-27
Temperature: 82 F || Date: 2017-07-27
Temperature: 82 F || Date: 2017-07-27
Temperature: 82 F || Date: 2017-07-27 14:57:31
Temperature: 82 F || Date and Time: 2017-07-27 15:01:54
Temperature: 82 F || Date and Time: 2017-07-27 15:02:54
Temperature: 82 F || Date and Time: 2017-07-27 15:03:54
Temperature: 82 F || Date and Time: 2017-07-27 15:04:54
Temperature: 82 F || Date and Time: 2017-07-27 15:05:54
Temperature: 82 F || Date and Time: 2017-07-27 15:06:55
Temperature: 82 F || Date and Time: 2017-07-27 15:07:55
Temperature: 82 F || Date and Time: 2017-07-27 15:08:55
Temperature: 82 F || Date and Time: 2017-07-27 15:09:55
Temperature: 82 F || Date and Time: 2017-07-27 15:10:14 || hvac_state: cooling 
Temperature: 82 F || Date and Time: 2017-07-27 15:11:14 || hvac_state: cooling 
Temperature: 82 F || Date and Time: 2017-07-27 15:12:14 || hvac_state: cooling 
Temperature: 82 F || Date and Time: 2017-07-27 15:13:14 || hvac_state: cooling 
Temperature: 82 F || Date and Time: 2017-07-27 15:14:14 || hvac_state: cooling 
Temperature: 82 F || Date and Time: 2017-07-27 15:15:17 || hvac_state: cooling 
Temperature: 82 F || Date and Time: 2017-07-27 15:16:17 || hvac_state: cooling 
Temperature: 82 F || Date and Time: 2017-07-27 15:25:18 || Hvac State: cooling || Target Temperature: 74
Temperature: 82 F || Date and Time: 2017-07-27 15:26:00 || Hvac State: cooling || Target Temperature in F: 74
Temperature: 82 F || Date and Time: 2017-07-27 15:27:00 || Hvac State: cooling || Target Temperature in F: 74
Temperature: 82 F || Date and Time: 2017-07-27 15:28:00 || Hvac State: cooling || Target Temperature in F: 74
Temperature: 82 F || Date and Time: 2017-07-27 15:29:00 || Hvac State: cooling || Target Temperature in F: 74
Temperature: 82 F || Date and Time: 2017-07-27 15:29:18 || Hvac State: cooling || Target Temperature in F: 74 || Is Fan Timer Active: True
Temperature: 82 F || Date and Time: 2017-07-27 15:30:18 || Hvac State: cooling || Target Temperature in F: 74 || Is Fan Timer Active: True
Temperature: 82 F || Date and Time: 2017-07-27 15:31:58 || Hvac State: cooling || Target Temperature in F: 74 || Is Fan Timer Active: True
Temperature: 82 F || Date and Time: 2017-07-27 15:32:58 || Hvac State: cooling || Target Temperature in F: 74 || Is Fan Timer Active: True
Temperature: 82 F || Date and Time: 2017-07-27 15:33:58 || Hvac State: cooling || Target Temperature in F: 74 || Is Fan Timer Active: True
Temperature: 82 F || Date and Time: 2017-07-27 15:34:58 || Hvac State: cooling || Target Temperature in F: 74 || Is Fan Timer Active: True
Temperature: 82 F || Date and Time: 2017-07-27 15:35:58 || Hvac State: cooling || Target Temperature in F: 74 || Is Fan Timer Active: True
Temperature: 82 F || Date and Time: 2017-07-27 15:36:58 || Hvac State: off || Target Temperature in F: 74 || Is Fan Timer Active: False
Temperature: 82 F || Date and Time: 2017-07-27 15:37:58 || Hvac State: off || Target Temperature in F: 74 || Is Fan Timer Active: False
Temperature: 82 F || Date and Time: 2017-07-27 15:38:58 || Hvac State: off || Target Temperature in F: 74 || Is Fan Timer Active: False
Temperature: 82 F || Date and Time: 2017-07-27 15:39:58 || Hvac State: off || Target Temperature in F: 74 || Is Fan Timer Active: False
Temperature: 82 F || Date and Time: 2017-07-27 15:40:58 || Hvac State: off || Target Temperature in F: 74 || Is Fan Timer Active: False
Temperature: 82 F || Date and Time: 2017-07-27 15:41:58 || Hvac State: off || Target Temperature in F: 74 || Is Fan Timer Active: False
Temperature: 82 F || Date and Time: 2017-07-27 15:43:00 || Hvac State: cooling || Target Temperature in F: 74 || Is Fan Timer Active: True
Temperature: 82 F || Date and Time: 2017-07-27 15:44:00 || Hvac State: cooling || Target Temperature in F: 74 || Is Fan Timer Active: True
Temperature: 82 F || Date and Time: 2017-07-27 15:45:00 || Hvac State: cooling || Target Temperature in F: 74 || Is Fan Timer Active: True
Temperature: 82 F || Date and Time: 2017-07-27 15:46:00 || Hvac State: cooling || Target Temperature in F: 74 || Is Fan Timer Active: True
Temperature: 82 F || Date and Time: 2017-07-27 15:47:00 || Hvac State: cooling || Target Temperature in F: 74 || Is Fan Timer Active: True
Temperature: 82 F || Date and Time: 2017-07-27 15:48:01 || Hvac State: cooling || Target Temperature in F: 74 || Is Fan Timer Active: True
Temperature: 82 F || Date and Time: 2017-07-27 15:49:01 || Hvac State: cooling || Target Temperature in F: 74 || Is Fan Timer Active: True
Temperature: 82 F || Date and Time: 2017-07-27 15:50:01 || Hvac State: cooling || Target Temperature in F: 74 || Is Fan Timer Active: True
Temperature: 82 F || Date and Time: 2017-07-27 15:51:01 || Hvac State: cooling || Target Temperature in F: 74 || Is Fan Timer Active: True
Temperature: 82 F || Date and Time: 2017-07-27 15:52:01 || Hvac State: cooling || Target Temperature in F: 74 || Is Fan Timer Active: True
Temperature: 82 F || Date and Time: 2017-07-27 15:53:02 || Hvac State: cooling || Target Temperature in F: 74 || Is Fan Timer Active: True
Temperature: 82 F || Date and Time: 2017-07-27 15:59:13 || Hvac State: cooling || Target Temperature in F: 74 || Is Fan Timer Active: True
Temperature: 82 F || Date and Time: 2017-07-27 16:00:13 || Hvac State: cooling || Target Temperature in F: 74 || Is Fan Timer Active: True
Temperature: 82 F || Date and Time: 2017-07-27 16:01:13 || Hvac State: cooling || Target Temperature in F: 74 || Is Fan Timer Active: True
Temperature: 82 F || Date and Time: 2017-07-27 16:02:13 || Hvac State: cooling || Target Temperature in F: 74 || Is Fan Timer Active: True
